P ,T,vf*,vg,h*,hg,mg,kf*,kg,Prf*,Prg
0.001,252.84,1.001,1167,-374.9,2464.1,0.0723,2.4,0.0169,,
0.002,260.21,1.001,600,-360.1,2477.4,0.0751,2.35,0.0174,,
0.003,265.11,1.001,408.5,-350.9,2486,0.0771,2.31,0.0177,,
0.004,267.95,1.001,309.1,-344.4,2491.9,0.078,2.29,0.0179,,
0.005,270.74,1.001,249.6,-337.9,2497.3,0.0789,2.27,0.018,,
0.006,273.06,1.001,209.7,-333.6,2502,0.0798,2.26,0.0182,,
0.0061,273.15,1.001,206,-333.5,2502,0.0802,2.26,0.0182,,
0.0061,273.15,1.0002,206,0,2502,0.0802,0.566,0.0182,13.04,0.817
0.008,276.73,1.0001,159.4,21.9,2508,0.0816,0.568,0.0184,11.66,0.823
0.01,280.13,1.0001,129.2,29.4,2513.4,0.0829,0.578,0.0186,10.39,0.828
0.02,290.66,1.0013,67,73.5,2532.7,0.0872,0.595,0.0193,7.51,0.841
0.03,297.24,1.0028,45.66,101.1,2544.8,0.0898,0.605,0.0195,6.29,0.854
0.04,302.13,1.0041,34.8,121.4,2553.6,0.0918,0.612,0.0198,5.57,0.865
0.05,306.04,1.0053,28.19,137.8,2560.6,0.0933,0.618,0.0201,5.08,0.871
0.06,309.33,1.0065,23.74,151.5,2566.6,0.0946,0.622,0.0203,4.62,0.877
0.08,314.68,1.0085,18.1,173.9,2576.2,0.0968,0.629,0.0207,4.22,0.883
0.1,318.98,1.0103,14.67,191.9,2583.9,0.0985,0.635,0.0209,3.87,0.893
0.2,333.23,1.0172,7.65,251.5,2608.9,0.1042,0.651,0.0219,3,0.913
0.3,342.27,1.0222,5.23,289.3,2624.6,0.1078,0.66,0.0224,2.6,0.929
0.4,349.04,1.0264,3.99,317.7,2636.2,0.1105,0.666,0.0229,2.36,0.941
0.5,354.5,1.0299,3.24,340.6,2645.5,0.1127,0.669,0.0233,2.19,0.951
0.6,359.11,1.0331,2.73,359.9,2653,0.1147,0.673,0.0236,2.06,0.961
0.8,366.66,1.0385,2.09,391.7,2665.3,0.1176,0.677,0.0242,1.88,0.979
1,372.78,1.0434,1.6937,417.5,2675.4,0.1202,0.6805,0.0244,1.735,1.009
1.5,384.52,1.053,1.159,467.1,2693.4,0.1247,0.6847,0.0259,1.538,1
2,393.38,1.0608,0.8854,504.7,2706.3,0.128,0.6866,0.0268,1.419,1.013
2.5,400.58,1.0676,0.7184,535.3,2716.4,0.1307,0.6876,0.0275,1.335,1.027
3,406.69,1.0735,0.6056,561.4,2724.7,0.1329,0.6879,0.0281,1.273,1.04
3.5,412.02,1.0789,0.524,584.3,2731.6,0.1349,0.6878,0.0287,1.224,1.05
4,416.77,1.0839,0.4622,604.7,2737.6,0.1367,0.6875,0.0293,1.185,1.057
4.5,421.07,1.0885,0.4138,623.2,2742.9,0.1382,0.6869,0.0298,1.152,1.066
5,424.99,1.0928,0.3747,640.1,2747.5,0.1396,0.6863,0.0303,1.124,1.073
6,432,1.1009,0.3155,670.4,2755.5,0.1421,0.6847,0.0311,1.079,1.091
7,438.11,1.1082,0.2727,697.1,2762,0.1443,0.6828,0.0319,1.044,1.105
8,445.57,1.115,0.2403,720.9,2767.5,0.1462,0.6809,0.0327,1.016,1.115
9,448.51,1.1214,0.2148,742.6,2772.1,0.1479,0.6788,0.0334,0.992,1.127
10,453.03,1.1274,0.1943,762.6,2776.1,0.1495,0.6767,0.0341,0.973,1.137
12,461.11,1.1386,0.1632,798.4,2782.7,0.1523,0.6723,0.0354,0.943,1.156
14,468.19,1.1489,0.1407,830.1,2787.8,0.1548,0.668,0.0366,0.92,1.175
16,474.52,1.1586,0.1237,858.6,2791.8,0.1569,0.6636,0.0377,0.902,1.191
18,480.26,1.1678,0.1103,884.6,2794.8,0.1589,0.6593,0.0388,0.889,1.206
20,485.53,1.1766,0.0995,908.6,2797.2,0.1608,0.655,0.0399,0.877,1.229
25,497.09,1.1972,0.0799,962,2800.9,0.1648,0.6447,0.0424,0.859,1.251
30,506.99,1.2163,0.0666,1008.4,2802.3,0.1684,0.6347,0.0449,0.849,1.278
35,515.69,1.2345,0.057,1049.8,2802,0.1716,0.625,0.0472,0.845,1.306
40,523.48,1.2521,0.0497,1087.4,2800.3,0.1746,0.6158,0.0496,0.845,1.331
45,530.56,1.2691,0.044,1122.1,2797.7,0.1775,0.6068,0.0519,0.849,1.358
50,537.06,1.2858,0.0394,1154.5,2794.2,0.1802,0.5981,0.0542,0.855,1.386
60,548.7,1.3187,0.0324,1213.7,2785,0.1854,0.5813,0.0589,0.874,1.442
70,558.94,1.3515,0.0274,1267.4,2773.5,0.1904,0.5653,0.0638,0.901,1.503
80,568.12,1.3843,0.0235,1317.1,2759.9,0.1954,0.5499,0.0688,0.936,1.573
90,576.46,1.4179,0.0205,1363.7,2744.6,0.2005,0.5352,0.0741,0.978,1.651
100,584.11,1.4526,0.018,1408,2727.7,0.2057,0.5209,0.0798,1.029,1.737
110,591.2,1.4887,0.016,1450.6,2709.3,0.211,0.5071,0.0159,1.09,1.837
120,597.8,1.5268,0.0143,1491.8,2689.2,0.2166,0.4936,0.0925,1.163,1.963
130,603.98,1.5672,0.0128,1532,2667,0.2224,0.4806,0.0998,1.252,2.126
140,609.79,1.6106,0.0115,1571.6,2642.4,0.2286,0.4678,0.108,1.362,2.343
150,615.28,1.6579,0.0103,1611,2615,0.2373,0.4554,0.1307,1.502,2.571
160,620.48,1.7103,0.0093,1650.5,2584.9,0.2497,0.4433,0.128,1.688,3.041
170,625.41,1.7696,0.0084,1691.7,2551.6,0.2627,0.4315,0.1404,2.098,3.344
180,630.11,1.8399,0.0075,1734.8,2513.9,0.2766,0.42,0.1557,2.36,3.807
190,634.58,1.926,0.0067,1778.7,2470.6,0.292,0.4087,0.1749,2.951,8.021
200,638.85,2.037,0.0059,1826.5,2410.4,0.3094,0.3976,0.2007,4.202,12.16
